day,lat,lat_abs,lat_pred,test_error
8972.5,5.350091,5.350091,5.35775802074169,0.0076670207416897895
8973.5,5.430653,5.430653,5.438318016180631,0.007665016180630424
8974.5,5.509725,5.509725,5.517387184682148,0.0076621846821476325
8975.5,5.587286,5.587286,5.594943234942141,0.007657234942141322
8976.5,5.663315,5.663315,5.670964201358133,0.007649201358133517
8977.5,5.737791,5.737791,5.745428449365453,0.007637449365453186
8978.5,5.81069,5.81069,5.818314680819982,0.007624680819981577
8979.5,5.881996,5.881996,5.889601939429149,0.007605939429148556
8980.5,5.951686,5.951686,5.959269616229093,0.007583616229092982
8981.5,6.019741,6.019741,6.027297455109156,0.007556455109155813
8982.5,6.086139,6.086139,6.093665558380461,0.0075265583804604574
8983.5,6.150862,6.150862,6.158354392388581,0.007492392388581237
8984.5,6.213888,6.213888,6.221344793169893,0.007456793169892784
8985.5,6.275199,6.275199,6.282617972147976,0.007418972147975822
8986.5,6.334775,6.334775,6.342155521870147,0.007380521870147483
8987.5,6.392596,6.392596,6.399939421780927,0.007343421780927173
8988.5,6.448644,6.448644,6.455952044031942,0.007308044031941741
8989.5,6.502899,6.502899,6.510176159324103,0.007277159324102556
8990.5,6.555343,6.555343,6.56259494278054,0.007251942780539977
8991.5,6.605958,6.605958,6.613191979848363,0.007233979848362715
8992.5,6.654726,6.654726,6.661951272224741,0.007225272224740564
8993.5,6.701631,6.701631,6.708857243805689,0.0072262438056887035
8994.5,6.746657,6.746657,6.7538947466533905,0.007237746653390609
8995.5,6.78979,6.78979,6.7970490669798735,0.007259066979873552
8996.5,6.831016,6.831016,6.838305931142073,0.007289931142072881
8997.5,6.870322,6.870322,6.877651511645304,0.007329511645304265
8998.5,6.907696,6.907696,6.915072433151771,0.007376433151771167
8999.5,6.943126,6.943126,6.950555778488861,0.007429778488861061
9000.5,6.9766,6.9766,6.984089094654012,0.0074890946540113745
9001.5,7.008109,7.008109,7.015660398811136,0.007551398811135535
9002.5,7.037638,7.037638,7.045258184274906,0.007620184274905739
9003.5,7.065181,7.065181,7.072871426477243,0.007690426477243051
9004.5,7.090726,7.090726,7.098489588911771,0.007763588911770647
9005.5,7.114266,7.114266,7.122102629051577,0.007836629051577226
9006.5,7.135792,7.135792,7.14370100423446,0.007909004234459616
9007.5,7.155293,7.155293,7.163275677511122,0.007982677511122027
9008.5,7.17276,7.17276,7.180818123450577,0.008058123450576993
9009.5,7.188189,7.188189,7.196320333897805,0.008131333897804183
9010.5,7.201567,7.201567,7.20977482367758,0.008207823677579995
9011.5,7.21289,7.21289,7.221174636239183,0.008284636239182852
9012.5,7.222148,7.222148,7.230513349236296,0.008365349236296282
9013.5,7.229336,7.229336,7.237785080036019,0.008449080036019296
9014.5,7.234446,7.234446,7.2429844911513035,0.00853849115130334
9015.5,7.237472,7.237472,7.246106795590757,0.008634795590756639
9016.5,7.238408,7.238408,7.247147762119798,0.008739762119798655
9017.5,7.237249,7.237249,7.246103720427003,0.00885472042700286
9018.5,7.233989,7.233989,7.242971566189574,0.008982566189573937
9019.5,7.228626,7.228626,7.237748766031591,0.009122766031590679
9020.5,7.221156,7.221156,7.230433362368932,0.009277362368932174
9021.5,7.211577,7.211577,7.221023978134477,0.009446978134477035
9022.5,7.199892,7.199892,7.209519821377453,0.009627821377453216
9023.5,7.186099,7.186099,7.195920689730252,0.009821689730252103
9024.5,7.170202,7.170202,7.180226974736807,0.010024974736807302
9025.5,7.152204,7.152204,7.162439666036061,0.010235666036060742
9026.5,7.132109,7.132109,7.1425603553938695,0.010451355393869655
9027.5,7.109921,7.109921,7.120591240577561,0.010670240577560719
9028.5,7.085647,7.085647,7.09653512906647,0.010888129066469965
9029.5,7.059292,7.059292,7.070395441592546,0.011103441592545948
9030.5,7.030862,7.030862,7.042176215504148,0.01131421550414835
9031.5,7.000364,7.000364,7.011882107947678,0.011518107947678047
9032.5,6.967804,6.967804,6.979518398860622,0.01171439886062231
9033.5,6.933191,6.933191,6.945090993769344,0.011899993769343808
9034.5,6.89653,6.89653,6.908606426386637,0.01207642638663664
9035.5,6.857831,6.857831,6.870071861002752,0.012240861002752013
9036.5,6.8171,6.8171,6.829495094663321,0.012395094663321338
9037.5,6.774346,6.774346,6.786884559129786,0.012538559129785298
9038.5,6.729579,6.729579,6.742249322615594,0.012670322615593754
9039.5,6.682807,6.682807,6.695599091293543,0.01279209129354264
9040.5,6.634039,6.634039,6.6469442105675665,0.012905210567566883
9041.5,6.583287,6.583287,6.596295666105222,0.013008666105221778
9042.5,6.530558,6.530558,6.543665084625047,0.013107084625047172
9043.5,6.475863,6.475863,6.489064734432929,0.01320173443292827
9044.5,6.419214,6.419214,6.43250752570431,0.013293525704309417
9045.5,6.360622,6.360622,6.374007010506084,0.013385010506083539
9046.5,6.300098,6.300098,6.313577382554782,0.013479382554781871
9047.5,6.237656,6.237656,6.2512334767050275,0.01357747670502718
9048.5,6.17331,6.17331,6.186990768165977,0.013680768165976964
9049.5,6.107078,6.107078,6.120865371440868,0.013787371440868057
9050.5,6.038976,6.038976,6.052874038984732,0.013898038984732075
9051.5,5.969023,5.969023,5.983034159578773,0.014011159578773302
9052.5,5.897239,5.897239,5.9113637564161206,0.014124756416120654
9053.5,5.823647,5.823647,5.837881484897167,0.014234484897166944
9054.5,5.74827,5.74827,5.762606630129381,0.0143366301293808
9055.5,5.671128,5.671128,5.6855591041312055,0.014431104131205075
9056.5,5.592247,5.592247,5.60675944273628,0.014512442736279496
9057.5,5.51165,5.51165,5.526228802194419,0.01457880219441865
9058.5,5.42936,5.42936,5.4439889554696315,0.0146289554696315
9059.5,5.345404,5.345404,5.360062288231193,0.014658288231192529
9060.5,5.259806,5.259806,5.274471794537679,0.014665794537679133
9061.5,5.172589,5.172589,5.1872410722102575,0.014652072210257217
9062.5,5.08378,5.08378,5.098394317896715,0.014614317896715079
9063.5,4.993403,4.993403,5.007956321824038,0.014553321824037901
9064.5,4.901484,4.901484,4.915952462237427,0.014468462237426927
9065.5,4.80805,4.80805,4.822408699528159,0.014358699528159491
9066.5,4.713124,4.713124,4.727351570047662,0.014227570047662397
9067.5,4.616735,4.616735,4.630808179609761,0.014073179609760622
9068.5,4.518907,4.518907,4.532806196678843,0.013899196678843317
9069.5,4.419668,4.419668,4.4333738452475435,0.013705845247543813
9070.5,4.319044,4.319044,4.332539897403432,0.013495897403432267
9071.5,4.217063,4.217063,4.230333665584261,0.01327066558426182
9072.5,4.11375,4.11375,4.126784994526309,0.013034994526309518
9073.5,4.009133,4.009133,4.021924252904827,0.012791252904826855
9074.5,3.90324,3.90324,3.9157823246705186,0.012542324670518745
9075.5,3.796098,3.796098,3.8083906000814802,0.012292600081480032
9076.5,3.687737,3.687737,3.699780966436331,0.01204396643633121
9077.5,3.578189,3.578189,3.589985798509733,0.01179679850973292
9078.5,3.467487,3.467487,3.479037948691635,0.011550948691634755
9079.5,3.355665,3.355665,3.3669707368368975,0.011305736836897395
9080.5,3.242758,3.242758,3.253817939825929,0.01105993982592901
9081.5,3.128802,3.128802,3.1396137808423252,0.01081178084232537
9082.5,3.013835,3.013835,3.0243929183685485,0.010557918368548691
9083.5,2.897894,2.897894,2.9081904349074814,0.010296434907481444
9084.5,2.781016,2.781016,2.7910418254327602,0.010025825432760094
9085.5,2.663239,2.663239,2.672982985570944,0.009743985570944247
9086.5,2.544601,2.544601,2.5540501995241955,0.009449199524195429
9087.5,2.42514,2.42514,2.4342801277357125,0.0091401277357126
9088.5,2.304895,2.304895,2.313709794305776,0.00881479430577592
9089.5,2.183902,2.183902,2.19237657416107,0.008474574161070336
9090.5,2.062201,2.062201,2.0703181799869874,0.008117179986987466
9091.5,1.939829,1.939829,1.9475726489274328,0.007743648927432734
9092.5,1.816823,1.816823,1.8241783290567994,0.0073553290567993646
9093.5,1.693223,1.693223,1.7001738656345602,0.006950865634560266
9094.5,1.569065,1.569065,1.5755981871462197,0.006533187146219754
9095.5,1.444388,1.444388,1.4504904911401406,0.006102491140140609
9096.5,1.31923,1.31923,1.3248902298643386,0.005660229864338673
9097.5,1.193629,1.193629,1.198837095714599,0.005208095714599015
9098.5,1.067622,1.067622,1.0723710064998224,0.00474900649982235
9099.5,0.941247,0.941247,0.9455320905306579,0.004285090530657953
9100.5,0.814541,0.814541,0.8183606715431617,0.0038196715431617623
9101.5,0.687541,0.687541,0.690897253463915,0.0033562534639149932
9102.5,0.560284,0.560284,0.5631825050231647,0.002898505023164688
9103.5,0.432808,0.432808,0.4352572442284561,0.002449244228456049
9104.5,0.305149,0.305149,0.30716242270421007,0.002013422704210066
9105.5,0.177348,0.177348,0.17893910990858092,0.0015911099085809122
9106.5,0.049446,0.049446,0.05062847723331186,0.001182477233311864
9107.5,-0.078518,0.078518,-0.07772821800035672,0.0007897819996432881
9108.5,-0.206499,0.206499,-0.2060896486423564,0.00040935135764358366
9109.5,-0.334456,0.334456,-0.33441443390342535,4.156609657463006e-05
9110.5,-0.462345,0.462345,-0.46266115562044385,-0.0003161556204438476
9111.5,-0.590124,0.590124,-0.5907883745911003,-0.0006643745911003585
9112.5,-0.717749,0.717749,-0.7187546469657967,-0.001005646965796747
9113.5,-0.845178,0.845178,-0.8465185406903317,-0.0013405406903317374
9114.5,-0.972369,0.972369,-0.9740386519856525,-0.0016696519856524983
9115.5,-1.099278,1.099278,-1.101273621856658,-0.0019956218566579143
9116.5,-1.225865,1.225865,-1.2281821526219556,-0.0023171526219556426
9117.5,-1.352087,1.352087,-1.3547230244507336,-0.0026360244507335207
9118.5,-1.477904,1.477904,-1.4808551118999975,-0.002951111899997416
9119.5,-1.603273,1.603273,-1.6065374004397208,-0.0032644004397208715
9120.5,-1.728156,1.728156,-1.7317290029590808,-0.0035730029590808066
9121.5,-1.852511,1.852511,-1.856389176239895,-0.003878176239894948
9122.5,-1.976298,1.976298,-1.9804773373890383,-0.004179337389038196
9123.5,-2.099478,2.099478,-2.103953080221573,-0.004475080221573169
9124.5,-2.22201,2.22201,-2.226776191580785,-0.004766191580785062
9125.5,-2.343856,2.343856,-2.3489066675883143,-0.005050667588314184
9126.5,-2.464978,2.464978,-2.470304729812065,-0.005326729812065167
9127.5,-2.585336,2.585336,-2.5909308413450987,-0.0055948413450988
9128.5,-2.704895,2.704895,-2.710745722781945,-0.005850722781945095
9129.5,-2.823616,2.823616,-2.8297103680843367,-0.006094368084336832
9130.5,-2.941463,2.941463,-2.9477860603283257,-0.006323060328325525
9131.5,-3.058399,3.058399,-3.0649343873195276,-0.006535387319527519
9132.5,-3.174389,3.174389,-3.1811172570700115,-0.006728257070011345
9133.5,-3.289395,3.289395,-3.296296913125116,-0.00690191312511601
9134.5,-3.40338,3.40338,-3.4104359497338352,-0.007055949733835387
9135.5,-3.516305,3.516305,-3.5234973268500553,-0.007192326850055331
9136.5,-3.628133,3.628133,-3.6354443849571636,-0.007311384957163547
9137.5,-3.738826,3.738826,-3.746240859708774,-0.007414859708774202
9138.5,-3.848346,3.848346,-3.855850896373245,-0.007504896373245362
9139.5,-3.956656,3.956656,-3.964239064076229,-0.007583064076228663
9140.5,-4.063721,4.063721,-4.071370369830616,-0.007649369830615704
9141.5,-4.169503,4.169503,-4.177210272348297,-0.0077072723482976
9142.5,-4.273968,4.273968,-4.2817246956222785,-0.007756695622278542
9143.5,-4.377082,4.377082,-4.384880042272739,-0.007798042272739281
9144.5,-4.47881,4.47881,-4.486643206650686,-0.007833206650685653
9145.5,-4.579119,4.579119,-4.586981587688437,-0.00786258768843684
9146.5,-4.677977,4.677977,-4.6858631014921475,-0.00788610149214719
9147.5,-4.774595,4.774595,-4.783256193667239,-0.008661193667239608
9148.5,-4.871212,4.871212,-4.87912985137228,-0.007917851372280182
9149.5,-4.965527,4.965527,-4.973453615091489,-0.007926615091489175
9150.5,-5.058268,5.058268,-5.066197590120802,-0.007929590120801855
9151.5,-5.149404,5.149404,-5.157332457762494,-0.00792845776249429
9152.5,-5.238907,5.238907,-5.24682948621937,-0.007922486219369418
9153.5,-5.326749,5.326749,-5.334660541185126,-0.00791154118512516
9154.5,-5.412903,5.412903,-5.42079809612348,-0.007895096123480272
9155.5,-5.497343,5.497343,-5.505215242233028,-0.007872242233028182
9156.5,-5.580041,5.580041,-5.587885698089991,-0.007844698089991553
9157.5,-5.660973,5.660973,-5.668783818965356,-0.00781081896535607
9158.5,-5.740114,5.740114,-5.747884605812987,-0.007770605812987164
9159.5,-5.81744,5.81744,-5.825163713921838,-0.007723713921837572
9160.5,-5.892927,5.892927,-5.900597461230371,-0.007670461230370407
9161.5,-5.966549,5.966549,-5.974162836297857,-0.007613836297857723
9162.5,-6.038285,6.038285,-6.0458375059310425,-0.007552505931042397
9163.5,-6.108109,6.108109,-6.115599822460593,-0.007490822460593627
9164.5,-6.176001,6.176001,-6.183428830665565,-0.0074278306655646276
9165.5,-6.241937,6.241937,-6.249304274344186,-0.007367274344185937
9166.5,-6.305896,6.305896,-6.313206602526523,-0.007310602526523269
9167.5,-6.367858,6.367858,-6.375116975328006,-0.007258975328006123
9168.5,-6.427804,6.427804,-6.435017269442925,-0.007213269442924997
9169.5,-6.485716,6.485716,-6.492890083274321,-0.007174083274320786
9170.5,-6.541576,6.541576,-6.548718741700759,-0.00714274170075857
9171.5,-6.595368,6.595368,-6.6024873004777955,-0.0071193004777958535
9172.5,-6.647077,6.647077,-6.654180550275003,-0.007103550275002313
9173.5,-6.696688,6.696688,-6.703784020346341,-0.00709602034634127
9174.5,-6.744188,6.744188,-6.75128398183471,-0.007095981834710052
9175.5,-6.789564,6.789564,-6.796667450711542,-0.007103450711541726
9176.5,-6.832804,6.832804,-6.839922190350292,-0.007118190350291265
9177.5,-6.873896,6.873896,-6.881036713735932,-0.007140713735931392
9178.5,-6.912832,6.912832,-6.920000285310511,-0.00716828531051128
9179.5,-6.949604,6.949604,-6.956802922457225,-0.007198922457225088
9180.5,-6.984201,6.984201,-6.991435396623199,-0.007234396623199579
9181.5,-7.016617,7.016617,-7.023889234083543,-0.007272234083543161
9182.5,-7.046845,7.046845,-7.05415671634922,-0.007311716349219566
9183.5,-7.074879,7.074879,-7.082230880220004,-0.007351880220003437
9184.5,-7.100712,7.100712,-7.108105517486052,-0.007393517486052659
9185.5,-7.124339,7.124339,-7.131775174280384,-0.007436174280384122
9186.5,-7.145755,7.145755,-7.1532351500861076,-0.007480150086107251
9187.5,-7.164956,7.164956,-7.172481496400921,-0.007525496400920595
9188.5,-7.181935,7.181935,-7.189511015062947,-0.007576015062946695
9189.5,-7.196692,7.196692,-7.204321256242082,-0.007629256242082327
9190.5,-7.209221,7.209221,-7.216910516100194,-0.0076895161001937495
9191.5,-7.21952,7.21952,-7.227277834125156,-0.007757834125155405
9192.5,-7.227588,7.227588,-7.235422990142799,-0.007834990142798759
9193.5,-7.23342,7.23342,-7.241346501012005,-0.007926501012005538
9194.5,-7.237021,7.237021,-7.2450496170073855,-0.008028617007385108
9195.5,-7.238389,7.238389,-7.246534317895068,-0.008145317895068338
9196.5,-7.237527,7.237527,-7.245803308706929,-0.008276308706928859
9197.5,-7.234439,7.234439,-7.242860015218655,-0.008421015218655015
9198.5,-7.22913,7.22913,-7.237708579137547,-0.00857857913754767
9199.5,-7.221605,7.221605,-7.23035385300591,-0.008748853005910107
9200.5,-7.211871,7.211871,-7.2208013948261325,-0.008930394826132115
9201.5,-7.199935,7.199935,-7.2090574624136865,-0.009122462413686527
9202.5,-7.185807,7.185807,-7.1951290074845655,-0.009322007484565908
9203.5,-7.169495,7.169495,-7.179023669483472,-0.009528669483471752
9204.5,-7.151009,7.151009,-7.1607497691597555,-0.009740769159755303
9205.5,-7.130362,7.130362,-7.1403163018976725,-0.009954301897672657
9206.5,-7.107564,7.107564,-7.1177329308082,-0.010168930808199583
9207.5,-7.082629,7.082629,-7.093009979589012,-0.010380979589012185
9208.5,-7.05557,7.05557,-7.066158425160334,-0.01058842516033387
9209.5,-7.0264,7.0264,-7.037189890083753,-0.010789890083753306
9210.5,-6.995133,6.995133,-7.006116634770977,-0.010983634770976636
9211.5,-6.961785,6.961785,-6.972951549490691,-0.011166549490691402
9212.5,-6.926369,6.926369,-6.937708146180463,-0.011339146180462834
9213.5,-6.888899,6.888899,-6.900400550071796,-0.011501550071796096
9214.5,-6.849392,6.849392,-6.861043491135228,-0.01165149113522812
9215.5,-6.80786,6.80786,-6.819652295354076,-0.01179229535407611
9216.5,-6.764319,6.764319,-6.776242875834273,-0.011923875834273012
9217.5,-6.718784,6.718784,-6.730831723757357,-0.012047723757357076
9218.5,-6.671269,6.671269,-6.683435899185728,-0.01216689918572822
9219.5,-6.621791,6.621791,-6.634073021726879,-0.012282021726878867
9220.5,-6.570367,6.570367,-6.582761261065352,-0.012394261065352019
9221.5,-6.517012,6.517012,-6.529519327369009,-0.012507327369008614
9222.5,-6.461744,6.461744,-6.4743664615788985,-0.012622461578898125
9223.5,-6.404583,6.404583,-6.417322425589896,-0.012739425589896491
9224.5,-6.345549,6.345549,-6.358407492329095,-0.012858492329095306
9225.5,-6.284661,6.284661,-6.297642435741322,-0.012981435741322045
9226.5,-6.221942,6.221942,-6.235048520688111,-0.013106520688110912
9227.5,-6.157415,6.157415,-6.170647492768933,-0.01323249276893268
9228.5,-6.091103,6.091103,-6.104461568070714,-0.01335856807071334
9229.5,-6.02303,6.02303,-6.036513422855025,-0.013483422855024685
9230.5,-5.95322,5.95322,-5.966826183189651,-0.013606183189651233
9231.5,-5.881701,5.881701,-5.895423414530863,-0.013722414530863425
9232.5,-5.808496,5.808496,-5.822329111265771,-0.013833111265770803
9233.5,-5.733634,5.733634,-5.747567686220254,-0.013933686220253705
9234.5,-5.657143,5.657143,-5.671163960140945,-0.014020960140945782
9235.5,-5.579048,5.579048,-5.593143151156385,-0.014095151156384489
9236.5,-5.49938,5.49938,-5.5135308642264755,-0.014150864226475157
9237.5,-5.418167,5.418167,-5.432353080586041,-0.01418608058604054
9238.5,-5.335436,5.335436,-5.349636147187898,-0.014200147187898082
9239.5,-5.251216,5.251216,-5.265406766154274,-0.014190766154273504
9240.5,-5.165536,5.165536,-5.179691984241846,-0.014155984241845943
9241.5,-5.078422,5.078422,-5.092519182325383,-0.014097182325382818
9242.5,-4.989901,4.989901,-5.0039160649086245,-0.014015064908624808
9243.5,-4.900001,4.900001,-4.913910649666189,-0.013909649666189239
9244.5,-4.808748,4.808748,-4.822531257023929,-0.013783257023929352
9245.5,-4.716168,4.716168,-4.729806499781056,-0.013638499781055913
9246.5,-4.622289,4.622289,-4.635765272782192,-0.013476272782191323
9247.5,-4.527136,4.527136,-4.540436742643365,-0.01330074264336556
9248.5,-4.430737,4.430737,-4.443850337535593,-0.013113337535592962
9249.5,-4.33312,4.33312,-4.3460357370338825,-0.01291573703388238
9250.5,-4.234311,4.234311,-4.247022862033889,-0.012711862033889076
9251.5,-4.134339,4.134339,-4.146841864742656,-0.012502864742656605
9252.5,-4.033233,4.033233,-4.04552311874518,-0.012290118745180045
9253.5,-3.931021,3.931021,-3.943097209153989,-0.012076209153989215
9254.5,-3.827736,3.827736,-3.8395949228443036,-0.011858922844303788
9255.5,-3.723406,3.723406,-3.735047238776888,-0.011641238776887608
9256.5,-3.618064,3.618064,-3.629485318415396,-0.011421318415396176
9257.5,-3.511741,3.511741,-3.5229404962388027,-0.011199496238802897
9258.5,-3.40447,3.40447,-3.415444270354121,-0.010974270354120907
9259.5,-3.296283,3.296283,-3.307028293209508,-0.010745293209508233
9260.5,-3.187214,3.187214,-3.197724362413811,-0.01051036241381098
9261.5,-3.077295,3.077295,-3.0875644116634877,-0.010269411663487826
9262.5,-2.966561,2.966561,-2.976580501777544,-0.010019501777544182
9263.5,-2.855045,2.855045,-2.864804811845994,-0.009759811845993838
9264.5,-2.742783,2.742783,-2.752269630490817,-0.009486630490816772
9265.5,-2.629808,2.629808,-2.6390073472432913,-0.00919934724329119
9266.5,-2.516154,2.516154,-2.5250504440361365,-0.008896444036136764
9267.5,-2.401855,2.401855,-2.410431486815286,-0.008576486815286
9268.5,-2.286945,2.286945,-2.295183117270654,-0.008238117270654044
9269.5,-2.171454,2.171454,-2.179338044684976,-0.007884044684975944
9270.5,-2.055416,2.055416,-2.062929037904999,-0.00751303790499902
9271.5,-1.938861,1.938861,-1.9459889174323581,-0.007127917432358188
9272.5,-1.821821,1.821821,-1.8285505476367354,-0.0067295476367355
9273.5,-1.704327,1.704327,-1.7106468290881138,-0.006319829088113904
9274.5,-1.586408,1.586408,-1.5923106910117746,-0.005902691011774541
9275.5,-1.468097,1.468097,-1.4735750838638686,-0.00547808386386861
9276.5,-1.349422,1.349422,-1.3544729720252242,-0.0050509720252243095
9277.5,-1.230415,1.230415,-1.2350373266164494,-0.004622326616449346
9278.5,-1.111104,1.111104,-1.1153011184302166,-0.004197118430216529
9279.5,-0.991523,0.991523,-0.9952973109820578,-0.003774310982057716
9280.5,-0.8717,0.8717,-0.8750588536751575,-0.003358853675157425
9281.5,-0.751669,0.751669,-0.7546186750815653,-0.002949675081565295
9282.5,-0.631459,0.631459,-0.6340096763364119,-0.002550676336411928
9283.5,-0.511105,0.511105,-0.513264724641524,-0.002159724641523919
9284.5,-0.390637,0.390637,-0.3924166468804055,-0.0017796468804054943
9285.5,-0.27009,0.27009,-0.2714982233392539,-0.001408223339253889
9286.5,-0.149495,0.149495,-0.1505421815342629,-0.0010471815342629198
9287.5,-0.028886,0.028886,-0.029581190139576455,-0.0006951901395764563
9288.5,0.091704,0.091704,0.09135214698268168,-0.00035185301731831264
9289.5,0.212241,0.212241,0.21222529665475687,-1.5703345243145428e-05
9290.5,0.332693,0.332693,0.3330058021625774,0.0003128021625773969
9291.5,0.453024,0.453024,0.4536612889409657,0.0006372889409657079
9292.5,0.573202,0.573202,0.5741594701709948,0.0009574701709947897
9293.5,0.693192,0.693192,0.6944681522900805,0.00127615229008049
9294.5,0.812963,0.812963,0.8145552404212528,0.001592240421252833
9295.5,0.93248,0.93248,0.9343887437209412,0.0019087437209411862
9296.5,1.051713,1.051713,1.0539367806504618,0.002223780650461915
9297.5,1.170629,1.170629,1.173167584176443,0.0025385841764431483
9298.5,1.289196,1.289196,1.292049506899784,0.0028535068997839197
9299.5,1.407385,1.407385,1.4105510261199115,0.003166026119911347
9300.5,1.525164,1.525164,1.5286407488355902,0.0034767488355902376
9301.5,1.642504,1.642504,1.6462874166890304,0.0037834166890304832
9302.5,1.759374,1.759374,1.7634599108532225,0.004085910853222519
9303.5,1.875746,1.875746,1.8801272568680185,0.0043812568680186015
9304.5,1.991589,1.991589,1.9962586294304927,0.00466962943049265
9305.5,2.106877,2.106877,2.1118233571397362,0.004946357139736346
9306.5,2.221578,2.221578,2.2267909272016904,0.005212927201690309
9307.5,2.335665,2.335665,2.3411309900995443,0.005465990099544182
9308.5,2.449108,2.449108,2.454813364229742,0.005705364229742216
9309.5,2.561877,2.561877,2.567808040510508,0.00593104051050819
9310.5,2.673944,2.673944,2.680085186964312,0.006141186964311984
9311.5,2.785279,2.785279,2.7916151532810947,0.006336153281094603
9312.5,2.895852,2.895852,2.9023684753622656,0.006516475362265517
9313.5,3.005633,3.005633,3.0123158798509193,0.00668287985091931
9314.5,3.114594,3.114594,3.1214282886535454,0.006834288653545517
9315.5,3.222703,3.222703,3.2296768234532114,0.006973823453211292
9316.5,3.329933,3.329933,3.3370328102207494,0.007099810220749347
9317.5,3.436253,3.436253,3.4434677837251435,0.007214783725143725
9318.5,3.541633,3.541633,3.5489534920494394,0.007320492049439409
9319.5,3.646046,3.646046,3.6534619011119567,0.007415901111956558
9320.5,3.749461,3.749461,3.7569651991977056,0.007504199197705397
9321.5,3.851851,3.851851,3.8594358015046937,0.007584801504693761
